Topics,Alpha,Beta,Coherence_C_V,Coherence_C_U_mass
5,0.1,0.01,0.8449898365479278,-2.463426084633629
5,0.1,0.31,0.7230788866019928,-3.6509946284270187
5,0.1,0.61,0.8207855250747512,-2.678448634655903
5,0.1,0.9099999999999999,0.8849945537975522,-2.0688891221921675
5,0.4,0.01,0.5852055737612942,-6.442394812592153
5,0.4,0.31,0.6568248404276597,-4.824220210715764
5,0.4,0.61,0.8075211430805618,-2.6817100281752415
5,0.4,0.9099999999999999,0.8328259593475783,-2.3737825087270323
5,0.7000000000000001,0.01,0.9833178358757172,-0.22435461163663972
5,0.7000000000000001,0.31,0.7377329608435834,-4.385437699340236
5,0.7000000000000001,0.61,0.7993869987820357,-3.3299094865243815
5,0.7000000000000001,0.9099999999999999,0.7497980548443456,-3.8016923561991014
5,1.0000000000000002,0.01,0.4377150590689471,-7.301525621775117
5,1.0000000000000002,0.31,0.8684889052045841,-1.5029890181067675
5,1.0000000000000002,0.61,0.9648011294287286,-0.7079260227945049
5,1.0000000000000002,0.9099999999999999,0.8677551877238845,-1.4772500033780536
5,1.3000000000000003,0.01,0.8307403472571749,-2.594324392980996
5,1.3000000000000003,0.31,0.8291201540831968,-2.5455839731931205
5,1.3000000000000003,0.61,0.7715007335256587,-3.2945624212425755
5,1.3000000000000003,0.9099999999999999,0.9237417412156097,-1.532752593076153
5,1.6000000000000003,0.01,0.60066378144753,-5.6432111551330415
5,1.6000000000000003,0.31,0.9046657669118133,-1.802513096948395
5,1.6000000000000003,0.61,0.8677551877238845,-1.4772500033780536
5,1.6000000000000003,0.9099999999999999,0.8843118490668394,-2.1018828661552513
5,1.9000000000000004,0.01,0.7128753894639586,-4.617859314158159
5,1.9000000000000004,0.31,0.5428497097750402,-6.604619525103528
5,1.9000000000000004,0.61,0.7711980561564744,-2.7775250165369156
5,1.9000000000000004,0.9099999999999999,0.8750962453497145,-1.3179093438143217
5,2.2000000000000006,0.01,0.6392997313812886,-5.582157070818105
5,2.2000000000000006,0.31,0.6182414020571102,-6.197594330609973
5,2.2000000000000006,0.61,0.8073910581794731,-2.687671117811884
5,2.2000000000000006,0.9099999999999999,0.8763512844442491,-1.5690657937346646
5,2.5000000000000004,0.01,0.9840039443400223,-0.22638723805763328
5,2.5000000000000004,0.31,0.7888323400744408,-3.0925364402578177
5,2.5000000000000004,0.61,0.6599727621652456,-4.8320081123545835
5,2.5000000000000004,0.9099999999999999,0.983448168862892,-0.2297270641839307
5,2.8000000000000003,0.01,0.6325633099401189,-5.024224952170131
5,2.8000000000000003,0.31,0.5926113128463354,-5.627485567155678
5,2.8000000000000003,0.61,0.9246205667570649,-0.3402395156095125
5,2.8000000000000003,0.9099999999999999,0.9809631151507835,-0.2360426153007545
5,3.1000000000000005,0.01,0.6958424136742558,-3.8994956136875154
5,3.1000000000000005,0.31,0.875109294929475,-1.3178250883325602
5,3.1000000000000005,0.61,0.9831623381389193,-0.2580515965288424
5,3.1000000000000005,0.9099999999999999,0.7977786562439257,-2.72077371674919
5,3.400000000000001,0.01,0.9834492838586912,-0.2606074030755837
5,3.400000000000001,0.31,0.9334544651983103,-0.34317578340903376
5,3.400000000000001,0.61,0.6954439185076045,-3.978839724545586
5,3.400000000000001,0.9099999999999999,0.9835933876090387,-0.22149605561891353
5,3.7000000000000006,0.01,0.941511873370428,-0.3812905649191632
5,3.7000000000000006,0.31,0.8345145333118289,-2.5863577645444495
5,3.7000000000000006,0.61,0.8043101198699395,-2.751059210044428
5,3.7000000000000006,0.9099999999999999,0.8325421651881479,-2.361092482093751
5,4.0,0.01,0.9835933876090388,-0.21759884103233293
5,4.0,0.31,0.7174603981698737,-4.598821698948965
5,4.0,0.61,0.6069568672214214,-5.737029738531622
5,4.0,0.9099999999999999,0.8681244422664104,-1.5198774796085843
5,4.300000000000001,0.01,0.6823346893982059,-4.266173745060623
5,4.300000000000001,0.31,0.6654955483588034,-5.0287677313497285
5,4.300000000000001,0.61,0.8729027488133161,-1.5555210344182924
5,4.300000000000001,0.9099999999999999,0.9834680521718058,-0.2362665892186672
5,4.6000000000000005,0.01,0.9428662637575915,-1.1027243903492852
5,4.6000000000000005,0.31,0.8678415012142194,-1.5187835082070564
5,4.6000000000000005,0.61,0.8371453965727055,-2.0970033529181955
5,4.6000000000000005,0.9099999999999999,0.7371101668845303,-4.170914259379959
5,4.9,0.01,0.9835760365320547,-0.2213430865658831
5,4.9,0.31,0.8655178218218458,-2.336578545285467
5,4.9,0.61,0.9463510217403825,-0.2932626305253441
5,4.9,0.9099999999999999,0.8678504294376145,-1.4950619233498155
10,0.1,0.01,0.8912956394444,-1.3684424146892167
10,0.1,0.31,0.7358159945901159,-4.503530449141709
10,0.1,0.61,0.7662412726001279,-3.6951014727513956
10,0.1,0.9099999999999999,0.9196245960906403,-1.4856619472005523
10,0.4,0.01,0.8393349789084809,-2.6435396495496137
10,0.4,0.31,0.840058436266283,-2.4997165134144597
10,0.4,0.61,0.9350653517859078,-0.8108534996119738
10,0.4,0.9099999999999999,0.9330216561960768,-1.171374613531718
10,0.7000000000000001,0.01,0.9888559960045195,-0.19938207420437895
10,0.7000000000000001,0.31,0.8398024921988109,-2.3727603695026174
10,0.7000000000000001,0.61,0.6769859147966575,-5.026688180838785
10,0.7000000000000001,0.9099999999999999,0.8525443144161591,-2.3204004408735583
10,1.0000000000000002,0.01,0.8284981633849489,-2.5348248738300057
10,1.0000000000000002,0.31,0.9501875944999985,-0.6252710409206672
10,1.0000000000000002,0.61,0.9168896334249987,-1.3413614727354906
10,1.0000000000000002,0.9099999999999999,0.9916935493005112,-0.16460532211752915
10,1.3000000000000003,0.01,0.8777529624128133,-2.156024231304725
10,1.3000000000000003,0.31,0.882802116900668,-1.481121096282959
10,1.3000000000000003,0.61,0.7857967653599716,-3.3183786727266886
10,1.3000000000000003,0.9099999999999999,0.8444044568622763,-2.7300232680825127
10,1.6000000000000003,0.01,0.7520613027411058,-3.7062329693037155
10,1.6000000000000003,0.31,0.929190340204759,-0.9331001971103756
10,1.6000000000000003,0.61,0.9323978978504407,-1.2196890064007557
10,1.6000000000000003,0.9099999999999999,0.9336263376083405,-1.1714918693713225
10,1.9000000000000004,0.01,0.9918113450042425,-0.16119069001898995
10,1.9000000000000004,0.31,0.9500953898016752,-0.9301377591472397
10,1.9000000000000004,0.61,0.8561886873275435,-2.300901166831688
10,1.9000000000000004,0.9099999999999999,0.9721203852260535,-0.6495168906932153
10,2.2000000000000006,0.01,0.8969728936881063,-1.7558842842593454
10,2.2000000000000006,0.31,0.9325454742102224,-0.808717122169163
10,2.2000000000000006,0.61,0.8246862377991107,-2.825161466968083
10,2.2000000000000006,0.9099999999999999,0.9724633436223838,-0.5858905292382506
10,2.5000000000000004,0.01,0.8842039794188755,-2.093855129650838
10,2.5000000000000004,0.31,0.9441536312187981,-1.123234013167811
10,2.5000000000000004,0.61,0.8237519938119144,-3.11589146352005
10,2.5000000000000004,0.9099999999999999,0.9919937235646868,-0.17989035569782563
10,2.8000000000000003,0.01,0.842173101967278,-2.4246077891979603
10,2.8000000000000003,0.31,0.9914327752785639,-0.14716555040294316
10,2.8000000000000003,0.61,0.8209182554787471,-2.9598049738069694
10,2.8000000000000003,0.9099999999999999,0.8858469035569065,-2.0570902406605547
10,3.1000000000000005,0.01,0.813840912513785,-3.5396282912081602
10,3.1000000000000005,0.31,0.7874509472462647,-3.819583488001432
10,3.1000000000000005,0.61,0.7951041357024362,-2.9971019270399823
10,3.1000000000000005,0.9099999999999999,0.952350469841282,-0.9316931870987618
10,3.400000000000001,0.01,0.8862214242036199,-1.926978590782903
10,3.400000000000001,0.31,0.9324596822749227,-0.8375597794078107
10,3.400000000000001,0.61,0.8294296386017092,-2.794112860972551
10,3.400000000000001,0.9099999999999999,0.8510782874351446,-2.0062476962007993
10,3.7000000000000006,0.01,0.8550394245511189,-2.384872385110179
10,3.7000000000000006,0.31,0.9053455516966146,-1.3839561363698423
10,3.7000000000000006,0.61,0.932148792728421,-1.1684600698923386
10,3.7000000000000006,0.9099999999999999,0.7476770535734564,-3.839517850793699
10,4.0,0.01,0.8877402298492253,-1.942879634702447
10,4.0,0.31,0.9591266822238567,-0.8100264554005724
10,4.0,0.61,0.9116430014958731,-1.350855404529336
10,4.0,0.9099999999999999,0.8607535691007518,-2.3434631637129266
10,4.300000000000001,0.01,0.9046938730662732,-1.9478862018711514
10,4.300000000000001,0.31,0.8405795212980323,-2.6554825712449874
10,4.300000000000001,0.61,0.9518782286437115,-0.9537162361123988
10,4.300000000000001,0.9099999999999999,0.9018987267047877,-1.4042417370644547
10,4.6000000000000005,0.01,0.928605050527304,-1.3584265969454905
10,4.6000000000000005,0.31,0.918733193471526,-1.3355079476118354
10,4.6000000000000005,0.61,0.8572447690033371,-2.38376371042516
10,4.6000000000000005,0.9099999999999999,0.9066242736603618,-0.45367579952059733
10,4.9,0.01,0.9228666056579904,-1.3623709068055205
10,4.9,0.31,0.9629042782080972,-0.7710304327916552
10,4.9,0.61,0.8949987577608114,-1.8482051305845633
10,4.9,0.9099999999999999,0.9323572437303922,-0.818923056365721
15,0.1,0.01,0.9249412309515741,-1.4514230958839254
15,0.1,0.31,0.9616054295469106,-0.8258452986624029
15,0.1,0.61,0.8699081683149122,-2.2290017824844575
15,0.1,0.9099999999999999,0.945466856476685,-0.8736865317276173
15,0.4,0.01,0.9597505076909262,-0.8000290234522891
15,0.4,0.31,0.9551740177288919,-0.8974275627714571
15,0.4,0.61,0.8876462575045283,-1.696939617675131
15,0.4,0.9099999999999999,,-3.322997322575105
15,0.7000000000000001,0.01,0.9409599686447933,-1.0943756881741287
15,0.7000000000000001,0.31,0.8895873737174017,-1.8860535934435598
15,0.7000000000000001,0.61,0.9658070025585652,-0.6557601401366798
15,0.7000000000000001,0.9099999999999999,,-0.6658780208247082
15,1.0000000000000002,0.01,0.8662779150998415,-2.5074585577348993
15,1.0000000000000002,0.31,0.9613678022713952,-0.7104003861419722
15,1.0000000000000002,0.61,,-2.1114694012598054
15,1.0000000000000002,0.9099999999999999,,-2.5362206488531225
15,1.3000000000000003,0.01,0.8910877265619381,-1.6808476025386325
15,1.3000000000000003,0.31,0.8552130043798162,-2.1354319657740297
15,1.3000000000000003,0.61,0.8975613877259765,-1.6720674426599396
15,1.3000000000000003,0.9099999999999999,,-4.023097660950878
15,1.6000000000000003,0.01,0.879601166202112,-1.8512739753623177
15,1.6000000000000003,0.31,0.9049878717859143,-1.8955533342714888
15,1.6000000000000003,0.61,0.9518660096545626,-1.0075637706682576
15,1.6000000000000003,0.9099999999999999,,-2.8468049740178634
15,1.9000000000000004,0.01,0.8828976420695817,-1.8361478495370243
15,1.9000000000000004,0.31,0.875571173525153,-1.7643479282761154
15,1.9000000000000004,0.61,0.8959179163823757,-1.8148315891831268
15,1.9000000000000004,0.9099999999999999,,-2.1157802431231842
15,2.2000000000000006,0.01,0.9576183722488659,-0.5551676856512289
15,2.2000000000000006,0.31,0.9194283294267689,-1.4266014654670514
15,2.2000000000000006,0.61,0.9499840437266511,-0.9969256861548685
15,2.2000000000000006,0.9099999999999999,,-1.402477636802937
15,2.5000000000000004,0.01,0.8698018976937829,-2.213506391525528
15,2.5000000000000004,0.31,0.8832248231551337,-1.8558797442512687
15,2.5000000000000004,0.61,0.9746723559665611,-0.5254381329554263
15,2.5000000000000004,0.9099999999999999,,-2.0025765155015707
15,2.8000000000000003,0.01,0.902304557016049,-1.623192737403254
15,2.8000000000000003,0.31,0.9088040503683884,-1.8353887755008473
15,2.8000000000000003,0.61,0.9490297420982644,-1.0011343122977254
15,2.8000000000000003,0.9099999999999999,,-1.779002908686871
15,3.1000000000000005,0.01,0.8703475427674604,-1.9899436476248944
15,3.1000000000000005,0.31,0.9811005210957112,-0.43759355959711826
15,3.1000000000000005,0.61,0.9111985353893158,-1.5233117383661265
15,3.1000000000000005,0.9099999999999999,,-2.743629240297624
15,3.400000000000001,0.01,0.7968650288250685,-3.4216365335539654
15,3.400000000000001,0.31,0.9460831447949777,-1.0587679111982427
15,3.400000000000001,0.61,0.9204255378438813,-1.5642848524934228
15,3.400000000000001,0.9099999999999999,,-2.8293752348541927
15,3.7000000000000006,0.01,0.9096993311139687,-1.5388655710049666
15,3.7000000000000006,0.31,0.9606615690012964,-0.7563836854608087
15,3.7000000000000006,0.61,0.856931554831424,-2.245742068896128
15,3.7000000000000006,0.9099999999999999,,-1.2802520843263683
15,4.0,0.01,0.9296474923127479,-1.169718123638809
15,4.0,0.31,0.9695527837105083,-0.7229649814300141
15,4.0,0.61,0.8104676862846153,-2.903573475644092
15,4.0,0.9099999999999999,,-2.387301727380732
15,4.300000000000001,0.01,0.6535151042755675,-5.373481990651133
15,4.300000000000001,0.31,0.8917140576583159,-1.948982597964602
15,4.300000000000001,0.61,0.8660484514169116,-2.538713920511874
15,4.300000000000001,0.9099999999999999,,-1.8957060492945088
15,4.6000000000000005,0.01,0.8526083522988813,-2.494452286270925
15,4.6000000000000005,0.31,0.9325607104529247,-0.858561379842928
15,4.6000000000000005,0.61,0.8800748357736582,-2.080273538476476
15,4.6000000000000005,0.9099999999999999,,-1.965222121800134
15,4.9,0.01,0.7875716870817265,-3.4151187216369294
15,4.9,0.31,0.8994837117718095,-1.5562354975047603
15,4.9,0.61,,-2.6057961413151807
15,4.9,0.9099999999999999,,-2.3945814414826363
20,0.1,0.01,0.9473335948741125,-1.1212608495774936
20,0.1,0.31,0.9697183648459138,-0.6470648748901804
20,0.1,0.61,,-2.786557395583333
20,0.1,0.9099999999999999,,-2.2609167341665026
20,0.4,0.01,0.8147041190805059,-3.4541034168212486
20,0.4,0.31,0.9721485900458241,-0.5742357173046231
20,0.4,0.61,,-2.6200162702722705
20,0.4,0.9099999999999999,,-2.65948933675477
20,0.7000000000000001,0.01,0.8664134965213053,-2.38963795420333
20,0.7000000000000001,0.31,0.9129529549063335,-0.9078920447035539
20,0.7000000000000001,0.61,,-1.9553867659862376
20,0.7000000000000001,0.9099999999999999,,-3.1647834228342235
20,1.0000000000000002,0.01,0.8879861090506964,-1.9070551647892215
20,1.0000000000000002,0.31,0.8865177487047076,-2.2075813905180284
20,1.0000000000000002,0.61,,-2.4896912114262877
20,1.0000000000000002,0.9099999999999999,,-2.31608288518002
20,1.3000000000000003,0.01,0.9189110919198746,-1.420702237861446
20,1.3000000000000003,0.31,0.9045741799005624,-1.7150799705520547
20,1.3000000000000003,0.61,,-3.3612038637050548
20,1.3000000000000003,0.9099999999999999,,-1.8474635373674324
20,1.6000000000000003,0.01,0.9363528885778869,-1.1817368618337523
20,1.6000000000000003,0.31,0.840171824255099,-2.543568589732609
20,1.6000000000000003,0.61,,-1.7868032223215724
20,1.6000000000000003,0.9099999999999999,,-2.280960359020873
20,1.9000000000000004,0.01,0.8026169122081669,-3.193576275989164
20,1.9000000000000004,0.31,0.925319333364342,-1.4100605383555294
20,1.9000000000000004,0.61,,-0.7828525701036784
20,1.9000000000000004,0.9099999999999999,,-1.4002551428888894
20,2.2000000000000006,0.01,0.8886850669205673,-1.9922206625123873
20,2.2000000000000006,0.31,0.8915776927316506,-1.981790931945055
20,2.2000000000000006,0.61,,-1.7514704477470762
20,2.2000000000000006,0.9099999999999999,,-2.1217670387272625
20,2.5000000000000004,0.01,0.9609741605060165,-0.7088370264039434
20,2.5000000000000004,0.31,0.9145496812434966,-1.496051533221102
20,2.5000000000000004,0.61,,-2.5054375236002473
20,2.5000000000000004,0.9099999999999999,,-2.380511130417508
20,2.8000000000000003,0.01,0.9414857449700346,-1.0607603242891495
20,2.8000000000000003,0.31,0.8751487647641311,-2.1888522277723146
20,2.8000000000000003,0.61,0.9393571257706512,-1.2088263586340067
20,2.8000000000000003,0.9099999999999999,,-2.8052961687304254
20,3.1000000000000005,0.01,0.8727067101544146,-2.438316567141814
20,3.1000000000000005,0.31,0.8584487489152091,-2.2963857653670154
20,3.1000000000000005,0.61,,-3.1789352878891295
20,3.1000000000000005,0.9099999999999999,,-2.00010707456245
20,3.400000000000001,0.01,0.9272627740012039,-1.3417285749024206
20,3.400000000000001,0.31,0.8729344718814153,-2.4478311834838613
20,3.400000000000001,0.61,,-2.6209533482887313
20,3.400000000000001,0.9099999999999999,,-2.428530914597628
20,3.7000000000000006,0.01,0.815116136927957,-3.1808134689958374
20,3.7000000000000006,0.31,0.8457146189457042,-2.605910491880038
20,3.7000000000000006,0.61,,-1.9702498647683329
20,3.7000000000000006,0.9099999999999999,,-1.6244710693630886
20,4.0,0.01,0.9227924461395762,-1.2741936014230424
20,4.0,0.31,0.9474625354189927,-1.0670914374872937
20,4.0,0.61,,-2.0200257177450895
20,4.0,0.9099999999999999,,-1.740325883005695
20,4.300000000000001,0.01,0.8199871273396745,-3.1865571145898266
20,4.300000000000001,0.31,0.9861551647279704,-0.2464800355657562
20,4.300000000000001,0.61,,-1.9088858560795003
20,4.300000000000001,0.9099999999999999,,-3.139587815281165
20,4.6000000000000005,0.01,0.9102917736426879,-1.6208017178125396
20,4.6000000000000005,0.31,0.9283014730303011,-1.4107108604152818
20,4.6000000000000005,0.61,,-1.724907060128902
20,4.6000000000000005,0.9099999999999999,,-1.8483954703367125
20,4.9,0.01,0.9228513592170327,-1.6046797701769395
20,4.9,0.31,0.8709630268039902,-2.0664400509857237
20,4.9,0.61,,-2.899963914435857
20,4.9,0.9099999999999999,,-2.5505592887325634
25,0.1,0.01,0.9000238821397295,-1.6631825776296163
25,0.1,0.31,0.8609716954051604,-2.3556246248518606
25,0.1,0.61,,-1.2985888185980092
25,0.1,0.9099999999999999,,-2.6182227727896628
25,0.4,0.01,0.9452435342041821,-0.9451981684426773
25,0.4,0.31,,-1.8260455966796294
25,0.4,0.61,,-1.8837996937618573
25,0.4,0.9099999999999999,,-2.6367617602141955
25,0.7000000000000001,0.01,0.9454705009575628,-1.022375184637883
25,0.7000000000000001,0.31,0.9151775405796482,-1.506894156325076
25,0.7000000000000001,0.61,,-1.0675562347482268
